,daily_active_minutes_instagram,sessions_per_day,reels_watched_per_day,stories_viewed_per_day,time_on_feed_per_day,time_on_reels_per_day,posts_created_per_week,likes_given_per_day,average_session_length_minutes,user_engagement_score,perceived_stress_score,self_reported_happiness,sleep_hours_per_night,exercise_hours_per_week,daily_steps_count,body_mass_index,blood_pressure_systolic,blood_pressure_diastolic
daily_active_minutes_instagram,1.0,0.7478692886399206,0.8744259148151433,0.9549978796199279,0.9747559499415462,0.9342336010819878,0.5055152940021505,0.9808868458893497,0.1945116164660461,-0.529630398935895,0.8344051037202729,-0.37250019444823124,-0.0009931618513946026,0.0009224498930184354,-0.0011965402128668995,0.0025160875134507053,0.001926494650538912,-0.0012168653744812378
sessions_per_day,0.7478692886399206,1.0,0.6531752192011089,0.7135616937865216,0.729813765505655,0.6984862329579935,0.37882488803446634,0.7333685507241597,-0.34556122410000334,-0.38051453054325557,0.6232867670104871,-0.2786048204097589,-0.0010047348527023763,0.0001812111376297159,-0.0015372301887888306,-3.475191580089443e-06,0.001445315403975795,-0.0004373418017827899
reels_watched_per_day,0.8744259148151433,0.6531752192011089,1.0,0.8500914363057143,0.8524589224063758,0.817133003634889,0.6259475787273178,0.8575424584790267,0.1855312957102476,-0.48229493709381355,0.6747990687454462,-0.2938710813749435,-0.002270818877077081,0.0005599265665092077,-0.0021383528223903824,0.002542720462242612,0.0022657143573293556,-0.0021465876941324986
stories_viewed_per_day,0.9549978796199279,0.7135616937865216,0.8500914363057143,1.0,0.9307610980617285,0.8926131349695446,0.49478718068624583,0.9366063487921393,0.20921368262316378,-0.5624594535263334,0.8140398805844375,-0.3438063230258589,-0.0001995754898849319,0.0017801451517274985,-0.001640574116927625,0.002253539117450106,0.0019911711882038877,-0.0003562295824867377
time_on_feed_per_day,0.9747559499415462,0.729813765505655,0.8524589224063758,0.9307610980617285,1.0,0.9109683444202727,0.4928893430417473,0.956202818919806,0.18870558208505642,-0.5163428214053323,0.8136294396190444,-0.3632519444543827,-0.0016817191425924204,0.0003736065494685455,-0.0008881180038821358,0.003850898924096613,0.002076108720267312,-0.0014133064032489761
time_on_reels_per_day,0.9342336010819878,0.6984862329579935,0.817133003634889,0.8926131349695446,0.9109683444202727,1.0,0.47253692157610594,0.9163002750098852,0.18239352707346204,-0.49481326076821774,0.7794598881004824,-0.34865525523978463,-0.0011805224660576426,0.0013327944227905304,-0.00042665979790507304,0.002971597319278892,0.002034359793773041,-0.0014512210479028
posts_created_per_week,0.5055152940021505,0.37882488803446634,0.6259475787273178,0.49478718068624583,0.4928893430417473,0.47253692157610594,1.0,0.49624675859335593,0.07542100734164284,-0.16127356022969758,0.37588038210610525,-0.1331307188610118,-0.0004030419245065134,0.0008120675682300961,-0.0019972608951055845,0.004211672113706908,0.002134054508369948,0.0016356491244569403
likes_given_per_day,0.9808868458893497,0.7333685507241597,0.8575424584790267,0.9366063487921393,0.956202818919806,0.9163002750098852,0.49624675859335593,1.0,0.19100246064910056,-0.5104494868919319,0.8184617831845319,-0.365626700437868,-0.0007679289199620124,0.0010019552107163108,-0.0005584638833410608,0.0022173192725821944,0.0018436213821808314,-0.001523690183285757
average_session_length_minutes,0.1945116164660461,-0.34556122410000334,0.1855312957102476,0.20921368262316378,0.18870558208505642,0.18239352707346204,0.07542100734164284,0.19100246064910056,1.0,-0.4326379341672885,0.15918591539661842,-0.10377296229791907,0.0009556154477038513,0.0029810947924730673,-0.0007052820420770559,0.00039829178232749906,0.00024155245703458804,0.0010484780086603388
user_engagement_score,-0.529630398935895,-0.38051453054325557,-0.48229493709381355,-0.5624594535263334,-0.5163428214053323,-0.49481326076821774,-0.16127356022969758,-0.5104494868919319,-0.4326379341672885,1.0,-0.4359277367999241,0.2675517857878039,0.0005542817884570952,-0.003223083742651832,0.0013382277490704545,0.0020763585731929943,-0.0004094996756444885,-0.00027413085424431415
